출발지,도착지,날짜,출발시간,도착시간,항공편,총 소요 시간,가격,좌석등급
ICN,HND,2023-09-01,20:30,22:50,직항,02시간 20분,"편도 268,900원~",economy
ICN,HND,2023-09-01,21:10,23:30,직항,02시간 20분,"편도 295,500원~",economy
ICN,HND,2023-09-01,20:55,01:00,경유 1,28시간 05분,"편도 415,800원~",economy
ICN,HND,2023-09-01,11:40,01:00,경유 1,13시간 20분,"편도 415,800원~",economy
ICN,HND,2023-09-01,06:45,01:00,경유 1,18시간 15분,"편도 415,800원~",economy
ICN,HND,2023-09-01,14:05,20:40,경유 1,06시간 35분,"편도 417,300원~",economy
ICN,HND,2023-09-01,14:05,21:25,경유 1,07시간 20분,"편도 417,300원~",economy
ICN,HND,2023-09-01,14:05,22:25,경유 1,08시간 20분,"편도 418,200원~",economy
ICN,HND,2023-09-01,15:20,22:30,경유 1,07시간 10분,"편도 427,300원~",economy
ICN,HND,2023-09-01,20:30,22:50,직항,02시간 20분,"편도 429,300원~",economy
ICN,HND,2023-09-01,21:10,23:30,직항,02시간 20분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,15:45,경유 1,07시간 50분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,14:40,경유 1,06시간 45분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,17:50,경유 1,09시간 55분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,14:15,경유 1,06시간 20분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,18:15,경유 1,10시간 20분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,16:40,경유 1,08시간 45분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,15:15,경유 1,07시간 20분,"편도 429,800원~",economy
ICN,HND,2023-09-01,19:20,08:40,경유 1,13시간 20분,"편도 429,800원~",economy
ICN,HND,2023-09-01,19:20,08:15,경유 1,12시간 55분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,19:45,경유 1,11시간 50분,"편도 429,800원~",economy
ICN,HND,2023-09-01,07:55,20:40,경유 1,12시간 45분,"편도 429,800원~",economy
ICN,HND,2023-09-01,09:35,16:15,경유 1,06시간 40분,"편도 430,400원~",economy
ICN,HND,2023-09-01,09:35,16:40,경유 1,07시간 05분,"편도 430,400원~",economy
ICN,HND,2023-09-01,16:00,22:00,경유 1,06시간 00분,"편도 430,700원~",economy
ICN,HND,2023-09-01,07:55,16:15,경유 1,08시간 20분,"편도 430,700원~",economy
ICN,HND,2023-09-01,19:20,07:45,경유 1,12시간 25분,"편도 430,700원~",economy
ICN,HND,2023-09-01,15:20,22:15,경유 1,06시간 55분,"편도 431,300원~",economy
ICN,HND,2023-09-01,09:35,16:15,경유 1,06시간 40분,"편도 431,300원~",economy
ICN,HND,2023-09-01,15:20,22:25,경유 1,07시간 05분,"편도 431,300원~",economy
ICN,HND,2023-09-01,14:05,22:30,경유 1,08시간 25분,"편도 433,200원~",economy
ICN,HND,2023-09-01,09:35,16:40,경유 1,07시간 05분,"편도 435,800원~",economy
ICN,HND,2023-09-01,09:35,18:15,경유 1,08시간 40분,"편도 435,800원~",economy
ICN,HND,2023-09-01,09:35,20:40,경유 1,11시간 05분,"편도 435,800원~",economy
ICN,HND,2023-09-01,09:35,19:45,경유 1,10시간 10분,"편도 435,800원~",economy
ICN,HND,2023-09-01,09:35,17:50,경유 1,08시간 15분,"편도 435,800원~",economy
ICN,HND,2023-09-01,09:35,21:25,경유 1,11시간 50분,"편도 435,800원~",economy
ICN,HND,2023-09-01,07:55,15:15,경유 1,07시간 20분,"편도 436,300원~",economy
ICN,HND,2023-09-01,07:55,17:15,경유 1,09시간 20분,"편도 436,300원~",economy
ICN,HND,2023-09-01,14:05,21:35,경유 1,07시간 30분,"편도 436,300원~",economy
ICN,HND,2023-09-01,07:55,14:15,경유 1,06시간 20분,"편도 436,300원~",economy
ICN,HND,2023-09-01,07:55,16:15,경유 1,08시간 20분,"편도 436,300원~",economy
ICN,HND,2023-09-01,09:35,16:15,경유 1,06시간 40분,"편도 436,700원~",economy
ICN,HND,2023-09-01,10:40,22:00,경유 1,11시간 20분,"편도 436,700원~",economy
ICN,HND,2023-09-01,15:20,22:25,경유 1,07시간 05분,"편도 436,700원~",economy
ICN,HND,2023-09-01,14:05,19:55,경유 1,05시간 50분,"편도 437,200원~",economy
