출발지,도착지,날짜,출발시간,도착시간,항공편,총 소요 시간,가격,좌석등급
ICN,HND,2023-07-29,20:30,22:50,직항,02시간 20분,"편도 411,200원~",economy
ICN,HND,2023-07-29,15:20,22:30,경유 1,07시간 10분,"편도 436,400원~",economy
ICN,HND,2023-07-29,20:30,22:50,직항,02시간 20분,"편도 438,400원~",economy
ICN,HND,2023-07-29,16:00,22:00,경유 1,06시간 00분,"편도 439,700원~",economy
ICN,HND,2023-07-29,15:20,22:25,경유 1,07시간 05분,"편도 440,400원~",economy
ICN,HND,2023-07-29,15:20,22:15,경유 1,06시간 55분,"편도 440,400원~",economy
ICN,HND,2023-07-29,18:55,11:40,경유 1,16시간 45분,"편도 444,900원~",economy
ICN,HND,2023-07-29,18:55,16:15,경유 1,21시간 20분,"편도 445,800원~",economy
ICN,HND,2023-07-29,08:45,15:50,경유 1,07시간 05분,"편도 447,900원~",economy
ICN,HND,2023-07-29,08:45,14:40,경유 1,05시간 55분,"편도 447,900원~",economy
ICN,HND,2023-07-29,12:30,17:50,경유 1,05시간 20분,"편도 447,900원~",economy
ICN,HND,2023-07-29,12:30,19:20,경유 1,06시간 50분,"편도 447,900원~",economy
ICN,HND,2023-07-29,12:30,18:40,경유 1,06시간 10분,"편도 447,900원~",economy
ICN,HND,2023-07-29,14:00,19:50,경유 1,05시간 50분,"편도 448,200원~",economy
ICN,HND,2023-07-29,14:00,19:20,경유 1,05시간 20분,"편도 448,200원~",economy
ICN,HND,2023-07-29,14:00,20:45,경유 1,06시간 45분,"편도 448,200원~",economy
ICN,HND,2023-07-29,14:00,19:35,경유 1,05시간 35분,"편도 448,200원~",economy
ICN,HND,2023-07-29,14:00,21:00,경유 1,07시간 00분,"편도 448,200원~",economy
ICN,HND,2023-07-29,14:00,21:45,경유 1,07시간 45분,"편도 462,000원~",economy
ICN,HND,2023-07-29,14:00,20:45,경유 1,06시간 45분,"편도 462,000원~",economy
ICN,HND,2023-07-29,14:00,19:20,경유 1,05시간 20분,"편도 462,000원~",economy
ICN,HND,2023-07-29,14:00,19:50,경유 1,05시간 50분,"편도 462,000원~",economy
ICN,HND,2023-07-29,14:00,22:45,경유 1,08시간 45분,"편도 462,000원~",economy
ICN,HND,2023-07-29,18:35,08:40,경유 1,14시간 05분,"편도 462,000원~",economy
ICN,HND,2023-07-29,11:00,14:15,경유 1,27시간 15분,"편도 1,273,300원~",economy
ICN,HND,2023-07-29,16:45,14:15,경유 1,21시간 30분,"편도 1,273,300원~",economy
ICN,HND,2023-07-30,20:30,22:50,직항,02시간 20분,"편도 390,100원~",economy
ICN,HND,2023-07-30,14:05,21:30,경유 1,07시간 25분,"편도 429,800원~",economy
ICN,HND,2023-07-30,14:05,20:40,경유 1,06시간 35분,"편도 429,800원~",economy
ICN,HND,2023-07-30,16:00,22:00,경유 1,06시간 00분,"편도 430,700원~",economy
ICN,HND,2023-07-30,14:05,22:25,경유 1,08시간 20분,"편도 430,700원~",economy
ICN,HND,2023-07-30,14:05,16:15,경유 1,26시간 10분,"편도 430,700원~",economy
ICN,HND,2023-07-30,14:05,07:45,경유 1,17시간 40분,"편도 430,700원~",economy
ICN,HND,2023-07-30,18:55,11:40,경유 1,16시간 45분,"편도 435,800원~",economy
ICN,HND,2023-07-30,19:05,08:50,경유 1,13시간 45분,"편도 436,700원~",economy
ICN,HND,2023-07-30,10:40,08:50,경유 1,22시간 10분,"편도 436,700원~",economy
ICN,HND,2023-07-30,19:05,22:00,경유 1,26시간 55분,"편도 436,700원~",economy
ICN,HND,2023-07-30,10:40,22:00,경유 1,11시간 20분,"편도 436,700원~",economy
ICN,HND,2023-07-30,18:55,16:15,경유 1,21시간 20분,"편도 436,700원~",economy
ICN,HND,2023-07-30,12:30,17:50,경유 1,05시간 20분,"편도 438,200원~",economy
ICN,HND,2023-07-30,12:30,18:40,경유 1,06시간 10분,"편도 438,200원~",economy
ICN,HND,2023-07-30,12:30,19:20,경유 1,06시간 50분,"편도 438,200원~",economy
ICN,HND,2023-07-30,20:55,01:00,경유 1,28시간 05분,"편도 588,600원~",economy
ICN,HND,2023-07-30,14:05,19:55,경유 1,05시간 50분,"편도 671,800원~",economy
ICN,HND,2023-07-30,14:05,18:50,경유 1,04시간 45분,"편도 671,800원~",economy
ICN,HND,2023-07-30,06:45,01:00,경유 1,18시간 15분,"편도 737,600원~",economy
ICN,HND,2023-07-30,12:55,13:30,경유 1,24시간 35분,"편도 1,092,100원~",economy
ICN,HND,2023-07-30,16:20,13:30,경유 1,21시간 10분,"편도 1,131,100원~",economy
ICN,HND,2023-07-30,11:00,14:15,경유 1,27시간 15분,"편도 1,273,300원~",economy
ICN,HND,2023-07-30,12:55,21:20,경유 1,08시간 25분,"편도 1,730,200원~",economy
ICN,HND,2023-07-30,13:05,21:30,경유 1,08시간 25분,"편도 1,856,000원~",economy
ICN,HND,2023-07-30,16:20,21:20,경유 1,29시간 00분,"편도 1,925,100원~",economy
ICN,HND,2023-07-30,16:45,14:15,경유 1,21시간 30분,"편도 1,945,000원~",economy
ICN,HND,2023-07-31,20:30,22:50,직항,02시간 20분,"편도 358,700원~",economy
ICN,HND,2023-07-31,15:20,22:30,경유 1,07시간 10분,"편도 427,300원~",economy
ICN,HND,2023-07-31,20:30,22:50,직항,02시간 20분,"편도 429,300원~",economy
ICN,HND,2023-07-31,08:00,20:40,경유 1,12시간 40분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,19:45,경유 1,11시간 45분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,15:45,경유 1,07시간 45분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,18:20,경유 1,10시간 20분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,17:50,경유 1,09시간 50분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,16:40,경유 1,08시간 40분,"편도 429,800원~",economy
ICN,HND,2023-07-31,14:05,20:40,경유 1,06시간 35분,"편도 429,800원~",economy
ICN,HND,2023-07-31,14:05,21:30,경유 1,07시간 25분,"편도 429,800원~",economy
ICN,HND,2023-07-31,08:00,14:40,경유 1,06시간 40분,"편도 429,800원~",economy
