출발지,도착지,날짜,출발시간,도착시간,항공편,총 소요 시간,가격,좌석등급
NRT,TAE,2023-07-29,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-02,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-02,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-02,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-03,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-03,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-04,13:50,11:00,경유 1,21시간 10분,"편도 4,431,500원~",first
NRT,TAE,2023-08-05,13:50,11:00,경유 1,21시간 10분,"편도 4,594,400원~",first
NRT,TAE,2023-08-05,13:50,11:00,경유 1,21시간 10분,"편도 4,761,800원~",first
NRT,TAE,2023-08-06,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-07,13:50,11:00,경유 1,21시간 10분,"편도 4,761,800원~",first
NRT,TAE,2023-08-09,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-09,13:50,11:00,경유 1,21시간 10분,"편도 4,500,400원~",first
NRT,TAE,2023-08-09,15:30,11:00,경유 1,19시간 30분,"편도 4,500,400원~",first
NRT,TAE,2023-08-10,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-10,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-11,13:50,11:00,경유 1,21시간 10분,"편도 4,761,800원~",first
NRT,TAE,2023-08-12,13:50,11:00,경유 1,21시간 10분,"편도 4,431,500원~",first
NRT,TAE,2023-08-12,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-13,13:50,11:00,경유 1,21시간 10분,"편도 4,431,500원~",first
NRT,TAE,2023-08-13,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-16,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-16,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-16,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-17,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-17,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-18,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-18,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-19,13:50,11:00,경유 1,21시간 10분,"편도 4,417,000원~",first
NRT,TAE,2023-08-19,13:50,11:00,경유 1,21시간 10분,"편도 4,551,800원~",first
NRT,TAE,2023-08-20,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-21,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-22,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-22,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-23,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-23,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-23,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-24,15:30,11:00,경유 1,19시간 30분,"편도 4,500,400원~",first
NRT,TAE,2023-08-24,13:50,11:00,경유 1,21시간 10분,"편도 4,500,400원~",first
NRT,TAE,2023-08-25,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-26,13:50,11:00,경유 1,21시간 10분,"편도 4,417,000원~",first
NRT,TAE,2023-08-26,13:50,11:00,경유 1,21시간 10분,"편도 4,551,800원~",first
NRT,TAE,2023-08-27,13:50,11:00,경유 1,21시간 10분,"편도 4,417,000원~",first
NRT,TAE,2023-08-28,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-29,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-29,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-30,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-30,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
NRT,TAE,2023-08-30,13:50,11:00,경유 1,21시간 10분,"편도 4,494,700원~",first
NRT,TAE,2023-08-31,15:30,11:00,경유 1,19시간 30분,"편도 4,359,900원~",first
NRT,TAE,2023-08-31,13:50,11:00,경유 1,21시간 10분,"편도 4,359,900원~",first
SPK,ICN,2023-07-29,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
SPK,ICN,2023-07-29,14:40,22:10,경유 1,07시간 30분,"편도 2,758,000원~",first
SPK,ICN,2023-07-30,14:40,16:20,경유 1,25시간 40분,"편도 2,213,900원~",first
SPK,ICN,2023-07-30,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
SPK,ICN,2023-07-31,14:40,16:20,경유 1,25시간 40분,"편도 2,213,900원~",first
SPK,ICN,2023-07-31,14:40,13:00,경유 1,22시간 20분,"편도 2,253,900원~",first
SPK,ICN,2023-08-07,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-07,14:40,16:20,경유 1,25시간 40분,"편도 2,213,900원~",first
SPK,ICN,2023-08-07,14:40,13:00,경유 1,22시간 20분,"편도 2,253,900원~",first
SPK,ICN,2023-08-10,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-11,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-12,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-12,14:40,16:20,경유 1,25시간 40분,"편도 2,213,900원~",first
SPK,ICN,2023-08-12,14:40,13:00,경유 1,22시간 20분,"편도 2,253,900원~",first
SPK,ICN,2023-08-13,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-13,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
SPK,ICN,2023-08-14,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-14,14:40,16:20,경유 1,25시간 40분,"편도 2,213,900원~",first
SPK,ICN,2023-08-14,14:40,13:00,경유 1,22시간 20분,"편도 2,253,900원~",first
SPK,ICN,2023-08-15,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-16,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
SPK,ICN,2023-08-16,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-17,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
SPK,ICN,2023-08-17,14:40,22:10,경유 1,07시간 30분,"편도 2,213,900원~",first
SPK,ICN,2023-08-18,14:40,13:00,경유 1,22시간 20분,"편도 2,213,900원~",first
