,Arr,Det,Arr_date,times,price
0,ICN,KIX,2023-07-19,22:55–11:50,"565,700원"
1,ICN,KIX,2023-07-19,22:55–11:50,"672,788원"
2,ICN,KIX,2023-07-19,23:45–21:35,"4,272,300원"
3,ICN,KIX,2023-07-20,16:10–18:00,"176,894원"
4,ICN,KIX,2023-07-20,14:55–16:50,"183,071원"
5,ICN,KIX,2023-07-20,15:40–17:20,"230,201원"
6,ICN,KIX,2023-07-20,08:00–09:45,"197,154원"
7,ICN,KIX,2023-07-20,19:20–21:05,"197,154원"
8,ICN,KIX,2023-07-20,14:05–15:50,"197,154원"
9,ICN,KIX,2023-07-20,07:45–09:40,"200,351원"
10,ICN,KIX,2023-07-20,13:30–15:20,"222,211원"
11,ICN,KIX,2023-07-20,18:55–21:00,"206,038원"
12,ICN,KIX,2023-07-20,07:30–09:20,"208,410원"
13,ICN,KIX,2023-07-20,15:20–17:10,"212,498원"
14,ICN,KIX,2023-07-20,07:10–09:00,"229,354원"
15,ICN,KIX,2023-07-20,12:10–13:55,"257,609원"
16,ICN,KIX,2023-07-20,08:00–09:50,"257,609원"
17,ICN,KIX,2023-07-20,13:20–15:10,"217,399원"
18,ICN,KIX,2023-07-21,15:20–17:10,"117,096원"
19,ICN,KIX,2023-07-21,16:10–18:00,"140,119원"
20,ICN,KIX,2023-07-21,14:55–16:50,"151,659원"
21,ICN,KIX,2023-07-21,13:30–15:20,"152,174원"
22,ICN,KIX,2023-07-21,07:15–09:05,"153,500원"
23,ICN,KIX,2023-07-21,07:30–09:20,"159,421원"
24,ICN,KIX,2023-07-21,09:10–11:00,"161,708원"
25,ICN,KIX,2023-07-21,13:15–15:15,"162,800원"
26,ICN,KIX,2023-07-21,13:45–15:35,"163,030원"
27,ICN,KIX,2023-07-21,07:45–09:40,"163,030원"
28,ICN,KIX,2023-07-21,13:20–15:10,"168,820원"
29,ICN,KIX,2023-07-21,07:10–09:00,"170,483원"
30,ICN,KIX,2023-07-21,15:40–17:20,"177,000원"
31,ICN,KIX,2023-07-21,12:10–13:55,"177,000원"
32,ICN,KIX,2023-07-21,11:10–13:00,"177,656원"
33,ICN,KIX,2023-07-22,13:30–15:20,"149,416원"
34,ICN,KIX,2023-07-22,13:15–15:15,"162,800원"
35,ICN,KIX,2023-07-22,15:20–17:10,"167,399원"
36,ICN,KIX,2023-07-22,13:20–15:10,"167,399원"
37,ICN,KIX,2023-07-22,07:15–09:05,"181,800원"
38,ICN,KIX,2023-07-22,09:30–11:20,"235,099원"
39,ICN,KIX,2023-07-22,13:30–15:20,"200,600원"
40,ICN,KIX,2023-07-22,09:10–11:00,"225,600원"
41,ICN,KIX,2023-07-22,07:10–09:00,"245,600원"
42,ICN,KIX,2023-07-22,17:00–18:50,"330,600원"
43,ICN,KIX,2023-07-22,11:05–07:50,"854,700원"
44,ICN,KIX,2023-07-22,11:40–08:30,"900,000원"
45,ICN,KIX,2023-07-22,06:45–08:30,"900,000원"
46,ICN,KIX,2023-07-23,14:00–16:00,"181,800원"
47,ICN,KIX,2023-07-23,07:15–09:05,"200,600원"
48,ICN,KIX,2023-07-23,13:15–15:15,"200,600원"
49,ICN,KIX,2023-07-23,13:20–15:10,"207,399원"
50,ICN,KIX,2023-07-23,15:20–17:10,"207,399원"
51,ICN,KIX,2023-07-23,09:30–11:20,"247,399원"
52,ICN,KIX,2023-07-23,08:00–09:50,"278,500원"
53,ICN,KIX,2023-07-23,13:30–15:20,"265,600원"
54,ICN,KIX,2023-07-23,07:10–09:00,"295,600원"
55,ICN,KIX,2023-07-23,17:00–18:50,"362,700원"
56,ICN,KIX,2023-07-23,11:40–08:30,"686,900원"
57,ICN,KIX,2023-07-23,06:45–08:30,"686,900원"
58,ICN,NRT,2023-07-19,22:45–08:00,"650,200원"
59,ICN,NRT,2023-07-19,23:45–17:30,"4,866,000원"
60,ICN,NRT,2023-07-20,08:05–20:15,"168,697원"
61,ICN,NRT,2023-07-20,17:05–19:30,"238,100원"
62,ICN,NRT,2023-07-20,09:40–12:20,"238,100원"
63,ICN,NRT,2023-07-20,07:55–10:25,"239,099원"
64,ICN,NRT,2023-07-20,12:55–15:25,"277,015원"
65,ICN,NRT,2023-07-20,07:55–10:25,"246,571원"
66,ICN,NRT,2023-07-20,11:40–18:40,"252,776원"
67,ICN,NRT,2023-07-20,16:50–22:10,"254,170원"
68,ICN,NRT,2023-07-20,16:05–21:20,"258,055원"
69,ICN,NRT,2023-07-20,15:30–21:20,"258,055원"
70,ICN,NRT,2023-07-20,16:05–22:20,"258,055원"
71,ICN,NRT,2023-07-20,15:30–22:20,"258,055원"
72,ICN,NRT,2023-07-20,14:25–21:20,"263,848원"
73,ICN,NRT,2023-07-20,15:45–18:10,"267,992원"
74,ICN,NRT,2023-07-20,15:55–20:30,"268,770원"
75,ICN,NRT,2023-07-21,17:05–19:30,"190,400원"
76,ICN,NRT,2023-07-21,07:55–10:25,"190,400원"
