Arr,Det,Arr_date,arr_times,Ret_times,time_taken,time_dir,price,grade
ICN,OKA,2023-07-24,14:45,17:00,직항,02시간 15분,"편도 247,800원~",economy
ICN,OKA,2023-07-24,9:45,11:55,직항,02시간 10분,"편도 351,400원~",economy
ICN,OKA,2023-07-24,10:45,13:00,직항,02시간 15분,"편도 357,200원~",economy
ICN,OKA,2023-07-24,8:00,10:20,직항,02시간 20분,"편도 450,100원~",economy
ICN,OKA,2023-07-24,18:20,8:45,경유 1,14시간 25분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,17:20,경유 1,08시간 35분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,19:50,경유 1,11시간 05분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,18:25,경유 1,09시간 40분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,13:55,경유 1,05시간 10분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,21:40,경유 1,12시간 55분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:45,15:45,경유 1,07시간 00분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,12:30,21:40,경유 1,09시간 10분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,12:30,19:50,경유 1,07시간 20분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,12:30,18:25,경유 1,05시간 55분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,12:30,17:20,경유 1,04시간 50분,"편도 462,400원~",economy
ICN,OKA,2023-07-24,8:00,17:20,경유 1,09시간 20분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,19:50,경유 1,11시간 50분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,18:25,경유 1,10시간 25분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,15:45,경유 1,07시간 45분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,13:55,경유 1,05시간 55분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,21:40,경유 1,13시간 40분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,18:35,8:45,경유 1,14시간 10분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,14:00,19:50,경유 1,05시간 50분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,14:00,21:40,경유 1,07시간 40분,"편도 462,500원~",economy
ICN,OKA,2023-07-24,8:00,10:20,직항,02시간 20분,"편도 472,800원~",economy
ICN,OKA,2023-07-24,8:45,15:00,경유 1,06시간 15분,"편도 476,500원~",economy
ICN,OKA,2023-07-24,8:45,13:55,경유 1,05시간 10분,"편도 476,500원~",economy
ICN,OKA,2023-07-24,12:30,18:25,경유 1,05시간 55분,"편도 476,500원~",economy
ICN,OKA,2023-07-24,12:30,17:20,경유 1,04시간 50분,"편도 476,500원~",economy
ICN,OKA,2023-07-24,14:05,22:15,경유 1,08시간 10분,"편도 780,400원~",economy
ICN,OKA,2023-07-24,12:00,9:15,경유 1,21시간 15분,"편도 1,456,400원~",economy
ICN,OKA,2023-07-25,13:30,15:45,직항,02시간 15분,"편도 204,800원~",economy
ICN,OKA,2023-07-25,11:20,13:45,직항,02시간 25분,"편도 208,600원~",economy
