Arr,Det,Arr_date,arr_times,Ret_times,time_taken,time_dir,price,grade
ICN,KIX,2023-08-20,14:00,16:00,직항,02시간 00분,"편도 169,200원~",economy
ICN,KIX,2023-08-20,08:00,09:50,직항,01시간 50분,"편도 175,900원~",economy
ICN,KIX,2023-08-20,12:10,14:00,직항,01시간 50분,"편도 175,900원~",economy
ICN,KIX,2023-08-20,13:30,15:20,직항,01시간 50분,"편도 181,800원~",economy
ICN,KIX,2023-08-20,13:45,15:35,직항,01시간 50분,"편도 188,900원~",economy
ICN,KIX,2023-08-20,14:55,16:50,직항,01시간 55분,"편도 188,900원~",economy
ICN,KIX,2023-08-20,13:15,15:15,직항,02시간 00분,"편도 189,200원~",economy
ICN,KIX,2023-08-20,07:15,09:05,직항,01시간 50분,"편도 189,200원~",economy
ICN,KIX,2023-08-20,15:20,17:10,직항,01시간 50분,"편도 191,400원~",economy
ICN,KIX,2023-08-20,13:20,15:10,직항,01시간 50분,"편도 191,400원~",economy
ICN,KIX,2023-08-20,15:40,17:20,직항,01시간 40분,"편도 192,400원~",economy
ICN,KIX,2023-08-20,07:10,09:00,직항,01시간 50분,"편도 200,500원~",economy
ICN,KIX,2023-08-20,07:45,09:40,직항,01시간 55분,"편도 216,000원~",economy
ICN,KIX,2023-08-20,16:10,18:00,직항,01시간 50분,"편도 216,000원~",economy
ICN,KIX,2023-08-20,09:10,11:00,직항,01시간 50분,"편도 219,200원~",economy
ICN,KIX,2023-08-20,09:30,11:20,직항,01시간 50분,"편도 220,200원~",economy
ICN,KIX,2023-08-20,08:00,09:45,직항,01시간 45분,"편도 232,400원~",economy
ICN,KIX,2023-08-20,14:05,15:50,직항,01시간 45분,"편도 232,400원~",economy
ICN,KIX,2023-08-20,10:10,12:00,직항,01시간 50분,"편도 238,000원~",economy
ICN,KIX,2023-08-20,09:35,11:20,직항,01시간 45분,"편도 241,000원~",economy
ICN,KIX,2023-08-20,19:20,21:05,직항,01시간 45분,"편도 279,000원~",economy
ICN,KIX,2023-08-20,17:00,18:50,직항,01시간 50분,"편도 310,000원~",economy
ICN,KIX,2023-08-20,15:20,17:15,직항,01시간 55분,"편도 332,800원~",economy
ICN,KIX,2023-08-20,18:55,21:00,직항,02시간 05분,"편도 332,800원~",economy
ICN,KIX,2023-08-20,18:55,21:00,직항,02시간 05분,"편도 365,500원~",economy
ICN,KIX,2023-08-20,15:20,17:15,직항,01시간 55분,"편도 365,500원~",economy
ICN,KIX,2023-08-20,09:35,11:20,직항,01시간 45분,"편도 365,500원~",economy
ICN,KIX,2023-08-20,14:05,15:50,직항,01시간 45분,"편도 366,000원~",economy
ICN,KIX,2023-08-20,08:00,09:45,직항,01시간 45분,"편도 366,000원~",economy
ICN,KIX,2023-08-20,19:20,21:05,직항,01시간 45분,"편도 366,000원~",economy
ICN,KIX,2023-08-20,06:25,07:50,경유 1,25시간 25분,"편도 445,200원~",economy
ICN,KIX,2023-08-20,06:25,14:30,경유 1,32시간 05분,"편도 445,200원~",economy
ICN,KIX,2023-08-20,11:05,07:50,경유 1,20시간 45분,"편도 453,200원~",economy
ICN,KIX,2023-08-20,11:05,14:30,경유 1,27시간 25분,"편도 453,200원~",economy
ICN,KIX,2023-08-20,06:45,08:30,경유 1,25시간 45분,"편도 463,300원~",economy
ICN,KIX,2023-08-20,11:40,08:30,경유 1,20시간 50분,"편도 468,300원~",economy
ICN,KIX,2023-08-20,21:05,18:45,경유 1,21시간 40분,"편도 500,600원~",economy
