dep,arr,date,times,price,grade,direct or nondirect
CJJ,FUK,2023-07-20,19:20-18:25,277886,economy,2회 경유
CJJ,FUK,2023-07-20,19:05-09:55,460570,economy,3회 경유
CJJ,FUK,2023-07-20,19:05-08:05,466001,economy,2회 경유
CJJ,FUK,2023-07-20,19:05-09:55,468645,economy,2회 경유
CJJ,FUK,2023-07-20,19:20-13:20,659622,economy,3회 경유
CJJ,FUK,2023-07-20,19:30-13:20,704687,economy,3회 경유
CJJ,FUK,2023-07-20,21:00-11:00,804207,economy,2회 경유
CJJ,FUK,2023-07-20,21:00-10:50,960887,economy,2회 경유
CJJ,FUK,2023-07-20,19:05-12:55,985756,economy,2회 경유
CJJ,FUK,2023-07-21,13:10-18:25,226695,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-14:05,248324,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-18:25,254893,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-14:05,256724,economy,2회 경유
CJJ,FUK,2023-07-21,10:00-17:25,273594,economy,1회 경유
CJJ,FUK,2023-07-21,10:00-20:55,273594,economy,1회 경유
CJJ,FUK,2023-07-21,06:00-18:25,286439,economy,2회 경유
CJJ,FUK,2023-07-21,07:20-14:05,292529,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-18:25,294106,economy,2회 경유
CJJ,FUK,2023-07-21,06:50-18:25,295363,economy,2회 경유
CJJ,FUK,2023-07-21,09:15-18:25,319907,economy,2회 경유
CJJ,FUK,2023-07-21,08:45-17:25,321630,economy,1회 경유
CJJ,FUK,2023-07-21,09:15-18:25,327461,economy,2회 경유
CJJ,FUK,2023-07-21,11:20-18:25,331567,economy,2회 경유
CJJ,FUK,2023-07-21,11:00-18:25,331673,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-14:05,332627,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-14:05,332627,economy,2회 경유
CJJ,FUK,2023-07-21,11:20-18:25,337927,economy,2회 경유
CJJ,FUK,2023-07-21,11:00-18:25,338033,economy,2회 경유
CJJ,FUK,2023-07-21,07:20-18:25,343453,economy,2회 경유
CJJ,FUK,2023-07-21,06:00-13:50,351522,economy,2회 경유
