Arr,Det,Arr_date,arr_times,Ret_times,time_taken,time_dir,price,grade
ICN,KIX,2023-08-20,14:00,16:00,직항,02시간 00분,169200,economy
ICN,KIX,2023-08-20,8:00,9:50,직항,01시간 50분,175900,economy
ICN,KIX,2023-08-20,12:10,14:00,직항,01시간 50분,175900,economy
ICN,KIX,2023-08-20,13:30,15:20,직항,01시간 50분,181800,economy
ICN,KIX,2023-08-20,13:45,15:35,직항,01시간 50분,188900,economy
ICN,KIX,2023-08-20,14:55,16:50,직항,01시간 55분,188900,economy
ICN,KIX,2023-08-20,13:15,15:15,직항,02시간 00분,189200,economy
ICN,KIX,2023-08-20,7:15,9:05,직항,01시간 50분,189200,economy
ICN,KIX,2023-08-20,15:20,17:10,직항,01시간 50분,191400,economy
ICN,KIX,2023-08-20,13:20,15:10,직항,01시간 50분,191400,economy
ICN,KIX,2023-08-20,15:40,17:20,직항,01시간 40분,192400,economy
ICN,KIX,2023-08-20,7:10,9:00,직항,01시간 50분,200500,economy
ICN,KIX,2023-08-20,7:45,9:40,직항,01시간 55분,216000,economy
ICN,KIX,2023-08-20,16:10,18:00,직항,01시간 50분,216000,economy
ICN,KIX,2023-08-20,9:10,11:00,직항,01시간 50분,219200,economy
ICN,KIX,2023-08-20,9:30,11:20,직항,01시간 50분,220200,economy
ICN,KIX,2023-08-20,8:00,9:45,직항,01시간 45분,232400,economy
ICN,KIX,2023-08-20,14:05,15:50,직항,01시간 45분,232400,economy
ICN,KIX,2023-08-20,10:10,12:00,직항,01시간 50분,238000,economy
ICN,KIX,2023-08-20,9:35,11:20,직항,01시간 45분,241000,economy
ICN,KIX,2023-08-20,19:20,21:05,직항,01시간 45분,279000,economy
ICN,KIX,2023-08-20,17:00,18:50,직항,01시간 50분,310000,economy
ICN,KIX,2023-08-20,15:20,17:15,직항,01시간 55분,332800,economy
ICN,KIX,2023-08-20,18:55,21:00,직항,02시간 05분,332800,economy
ICN,KIX,2023-08-20,18:55,21:00,직항,02시간 05분,365500,economy
ICN,KIX,2023-08-20,15:20,17:15,직항,01시간 55분,365500,economy
ICN,KIX,2023-08-20,9:35,11:20,직항,01시간 45분,365500,economy
ICN,KIX,2023-08-20,14:05,15:50,직항,01시간 45분,366000,economy
ICN,KIX,2023-08-20,8:00,9:45,직항,01시간 45분,366000,economy
ICN,KIX,2023-08-20,19:20,21:05,직항,01시간 45분,366000,economy
ICN,KIX,2023-08-20,6:25,7:50,경유 1,25시간 25분,445200,economy
ICN,KIX,2023-08-20,6:25,14:30,경유 1,32시간 05분,445200,economy
ICN,KIX,2023-08-20,11:05,7:50,경유 1,20시간 45분,453200,economy
ICN,KIX,2023-08-20,11:05,14:30,경유 1,27시간 25분,453200,economy
ICN,KIX,2023-08-20,6:45,8:30,경유 1,25시간 45분,463300,economy
ICN,KIX,2023-08-20,11:40,8:30,경유 1,20시간 50분,468300,economy
ICN,KIX,2023-08-20,21:05,18:45,경유 1,21시간 40분,500600,economy
