지역,공항,이름,대여일,반납일,크기,제한인원수,보험,가격,브랜드
후쿠오카,FUK,아쿠아 ,2023-07-26,2023-07-27,소형,5,면책커버보험 포함,84940,도요타
후쿠오카,FUK,프리우스 ,2023-07-26,2023-07-27,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,스텝왜건 ,2023-07-26,2023-07-27,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,아쿠아 ,2023-07-27,2023-07-28,소형,5,면책커버보험 포함,84940,도요타
후쿠오카,FUK,프리우스 ,2023-07-29,2023-07-30,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,시엔타 ,2023-07-29,2023-07-30,RV,5,면책커버보험 포함,110710,도요타
후쿠오카,FUK,왜건 R ,2023-07-30,2023-07-31,경형,5,스탠다드플랜 포함,77000,스즈키
후쿠오카,FUK,피트 ,2023-07-30,2023-07-31,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,라이즈 ,2023-07-30,2023-07-31,SUV,5,면책커버보험 포함,95980,도요타
후쿠오카,FUK,코롤라 ,2023-07-30,2023-07-31,준중형,5,스탠다드플랜 포함,112450,도요타
후쿠오카,FUK,아쿠아 ,2023-07-30,2023-07-31,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,하이에이스 그랜드 캐빈 ,2023-07-30,2023-07-31,RV,10,면책커버보험 포함,248810,도요타
후쿠오카,FUK,왜건 R ,2023-07-31,2023-08-01,경형,5,스탠다드플랜 포함,77000,스즈키
후쿠오카,FUK,피트 ,2023-07-31,2023-08-01,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,아쿠아 ,2023-07-31,2023-08-01,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,스텝왜건 ,2023-07-31,2023-08-01,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,왜건 R ,2023-08-01,2023-08-02,경형,5,프리미엄플랜 포함,88420,스즈키
후쿠오카,FUK,피트 ,2023-08-01,2023-08-02,소형,5,프리미엄플랜 포함,103320,혼다
후쿠오카,FUK,코롤라 ,2023-08-01,2023-08-02,준중형,5,스탠다드플랜 포함,112450,도요타
후쿠오카,FUK,아쿠아 ,2023-08-01,2023-08-02,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,프리우스 ,2023-08-01,2023-08-02,준중형,5,스탠다드플랜 포함,153640,도요타
후쿠오카,FUK,알파드 ,2023-08-01,2023-08-02,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,스텝왜건 ,2023-08-01,2023-08-02,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,프리우스 ,2023-08-02,2023-08-03,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,복시 ,2023-08-02,2023-08-03,RV,7,면책커버보험 포함,175160,도요타
후쿠오카,FUK,프리우스 ,2023-08-03,2023-08-04,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,알파드 ,2023-08-03,2023-08-04,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,프리우스 ,2023-08-04,2023-08-05,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,알파드 ,2023-08-04,2023-08-05,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,크라운 ,2023-08-05,2023-08-06,대형,5,면책커버보험 포함,258020,도요타
후쿠오카,FUK,피트 ,2023-08-06,2023-08-07,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,프리우스 ,2023-08-06,2023-08-07,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,크라운 ,2023-08-06,2023-08-07,대형,5,면책커버보험 포함,258020,도요타
