Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-07-26,2023-07-27,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-07-26,2023-07-27,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,혼다 스텝왜건 또는 동급차종,니폰 렌터카,2023-07-26,2023-07-27,,RV,7인,스탠다드플랜 포함,248560
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-07-27,2023-07-28,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-07-29,2023-07-30,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 시엔타 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-07-29,2023-07-30,휘발유,RV,5인,면책커버보험 포함,110710
FUKUOKA,FUK,스즈키 왜건 R 또는 동급차종,니폰 렌터카,2023-07-30,2023-07-31,,경형,5인,스탠다드플랜 포함,77000
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-07-30,2023-07-31,,소형,5인,스탠다드플랜 포함,91840
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 우스이점국내선위치,2023-07-30,2023-07-31,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-07-30,2023-07-31,,준중형,5인,스탠다드플랜 포함,112450
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,니폰 렌터카,2023-07-30,2023-07-31,,소형,5인,스탠다드플랜 포함,119300
FUKUOKA,FUK,도요타 하이에이스 그랜드 캐빈 또는 동급차종,TOYOTA_FUKUOKA 우스이점국내선위치,2023-07-30,2023-07-31,휘발유,RV,10인,면책커버보험 포함,248810
FUKUOKA,FUK,스즈키 왜건 R 또는 동급차종,니폰 렌터카,2023-07-31,2023-08-01,,경형,5인,스탠다드플랜 포함,77000
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-07-31,2023-08-01,,소형,5인,스탠다드플랜 포함,91840
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,니폰 렌터카,2023-07-31,2023-08-01,,소형,5인,스탠다드플랜 포함,119300
FUKUOKA,FUK,혼다 스텝왜건 또는 동급차종,니폰 렌터카,2023-07-31,2023-08-01,,RV,7인,스탠다드플랜 포함,248560
FUKUOKA,FUK,스즈키 왜건 R 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,경형,5인,프리미엄플랜 포함,884
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,소형,5인,프리미엄플랜 포함,1033
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,준중형,5인,스탠다드플랜 포함,112450
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,소형,5인,스탠다드플랜 포함,119300
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,준중형,5인,스탠다드플랜 포함,153640
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 우스이점국내선위치,2023-08-01,2023-08-02,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,혼다 스텝왜건 또는 동급차종,니폰 렌터카,2023-08-01,2023-08-02,,RV,7인,스탠다드플랜 포함,248560
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 야쿠인역 앞점,2023-08-02,2023-08-03,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-02,2023-08-03,휘발유,RV,7인,면책커버보험 포함,175160
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 야쿠인역 앞점,2023-08-03,2023-08-04,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-03,2023-08-04,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 야쿠인역 앞점,2023-08-04,2023-08-05,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-04,2023-08-05,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-05,2023-08-06,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-06,2023-08-07,,소형,5인,스탠다드플랜 포함,91840
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-06,2023-08-07,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-06,2023-08-07,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-08-07,2023-08-08,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-08-07,2023-08-08,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 우스이점국내선위치,2023-08-07,2023-08-08,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-07,2023-08-08,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-07,2023-08-08,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 야쿠인역 앞점,2023-08-08,2023-08-09,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,RV,7인,면책커버보험 포함,175160
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-09,2023-08-10,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-09,2023-08-10,휘발유,SUV,5인,면책커버보험 포함,95980
