지역,공항,이름,대여일,반납일,크기,제한인원수,보험,가격,브랜드
후쿠오카,FUK,아쿠아,20230726,20230727,소형,5,면책커버보험 포함,84940,도요타
후쿠오카,FUK,프리우스,20230726,20230727,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,스텝왜건,20230726,20230727,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,아쿠아,20230727,20230728,소형,5,면책커버보험 포함,84940,도요타
후쿠오카,FUK,프리우스,20230729,20230730,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,시엔타,20230729,20230730,RV,5,면책커버보험 포함,110710,도요타
후쿠오카,FUK,왜건 R,20230730,20230731,경형,5,스탠다드플랜 포함,77000,스즈키
후쿠오카,FUK,피트,20230730,20230731,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,라이즈,20230730,20230731,SUV,5,면책커버보험 포함,95980,도요타
후쿠오카,FUK,코롤라,20230730,20230731,준중형,5,스탠다드플랜 포함,112450,도요타
후쿠오카,FUK,아쿠아,20230730,20230731,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,하이에이스 그랜드 캐빈,20230730,20230731,RV,10,면책커버보험 포함,248810,도요타
후쿠오카,FUK,왜건 R,20230731,20230801,경형,5,스탠다드플랜 포함,77000,스즈키
후쿠오카,FUK,피트,20230731,20230801,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,아쿠아,20230731,20230801,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,스텝왜건,20230731,20230801,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,왜건 R,20230801,20230802,경형,5,프리미엄플랜 포함,88420,스즈키
후쿠오카,FUK,피트,20230801,20230802,소형,5,프리미엄플랜 포함,103320,혼다
후쿠오카,FUK,코롤라,20230801,20230802,준중형,5,스탠다드플랜 포함,112450,도요타
후쿠오카,FUK,아쿠아,20230801,20230802,소형,5,스탠다드플랜 포함,119300,도요타
후쿠오카,FUK,프리우스,20230801,20230802,준중형,5,스탠다드플랜 포함,153640,도요타
후쿠오카,FUK,알파드,20230801,20230802,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,스텝왜건,20230801,20230802,RV,7,스탠다드플랜 포함,248560,혼다
후쿠오카,FUK,프리우스,20230802,20230803,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,복시,20230802,20230803,RV,7,면책커버보험 포함,175160,도요타
후쿠오카,FUK,프리우스,20230803,20230804,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,알파드,20230803,20230804,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,프리우스,20230804,20230805,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,알파드,20230804,20230805,RV,7,면책커버보험 포함,230400,도요타
후쿠오카,FUK,크라운,20230805,20230806,대형,5,면책커버보험 포함,258020,도요타
후쿠오카,FUK,피트,20230806,20230807,소형,5,스탠다드플랜 포함,91840,혼다
후쿠오카,FUK,프리우스,20230806,20230807,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,크라운,20230806,20230807,대형,5,면책커버보험 포함,258020,도요타
후쿠오카,FUK,아쿠아,20230807,20230808,소형,5,면책커버보험 포함,84940,도요타
후쿠오카,FUK,라이즈,20230807,20230808,SUV,5,면책커버보험 포함,95980,도요타
후쿠오카,FUK,프리우스,20230807,20230808,준중형,5,면책커버보험 포함,101510,도요타
후쿠오카,FUK,캠리,20230807,20230808,중형,5,면책커버보험 포함,158590,도요타
후쿠오카,FUK,크라운,20230807,20230808,대형,5,면책커버보험 포함,258020,도요타
후쿠오카,FUK,프리우스,20230808,20230809,준중형,5,면책커버보험 포함,101510,도요타
